Gene_ID,Danio_match,Danio_symbol,Exon_length
C7695136.g1,,,328
C7695388.g1,ENSDARG00000022650,cyp2ad3,494
C7695390.g1,,,443
C7695920.g1,ENSDARG00000035437,wu:fd14a01,284
C7696292.g1,,,219
C7696478.g1,,,621
C7697694.g1,ENSDARG00000079712,GAL3ST4,560
C7698512.g1,ENSDARG00000004280,seh1l,283
C7699260.g1,ENSDARG00000094307,si:ch211-8c17.2,453
C7699470.g1,,,438
C7699550.g1,ENSDARG00000070366,BX005001.2,284
C7699606.g1,ENSDARG00000070775,cyp2x9,452
C7700142.g1,,,580
C7700216.g1,,,639
C7700846.g1,ENSDARG00000061214,lipin2,387
C7701136.g1,ENSDARG00000056679,morc3a,448
C7701352.g1,ENSDARG00000074116,PKD1L2 (4 of 4),513
C7701510.g1,,,321
C7702176.g1,ENSDARG00000068493,CYP2F1 (2 of 2),645
C7702302.g1,ENSDARG00000087657,fasn,387
C7702758.g1,,,105
C7703550.g1,ENSDARG00000037872,foxk1,535
C7704268.g1,ENSDARG00000069518,aqp3b,218
C7704286.g1,ENSDARG00000055415,zp2l1,495
C7704638.g1,,,315
C7704780.g1,ENSDARG00000068992,hspa8,653
C7704834.g1,,,177
C7705222.g1,,,128
C7705612.g1,,,655
C7706020.g1,ENSDARG00000044670,ITGAL,433
C7706152.g1,ENSDARG00000060594,hadhab,289
C7706310.g1,ENSDARG00000061796,rasgrp4,188
C7706582.g1,ENSDARG00000021735,cacna1ba,455
C7707012.g1,,,266
C7707176.g1,,,245
C7707344.g1,,,261
C7707374.g1,,,575
C7707528.g1,ENSDARG00000039667,mrpl38,470
C7707878.g1,ENSDARG00000074740,ARHGAP18,238
C7708132.g1,,,502
C7708900.g1,ENSDARG00000060594,hadhab,344
C7709302.g1,ENSDARG00000035329,capns1a,318
C7709552.g1,ENSDARG00000059993,trpm4,363
C7709830.g1,,,200
C7710070.g1,,,671
C7710530.g1,ENSDARG00000017785,zgc:158689,284
C7710698.g1,,,263
C7710882.g1,ENSDARG00000008979,golga1,277
C7711010.g1,,,269
C7711116.g1,ENSDARG00000033802,cyp27a7,409
C7711426.g1,,,467
C7711838.g1,ENSDARG00000077011,uhrf1bp1,403
C7711926.g1,ENSDARG00000076178,PGBD4 (1 of 7),657
C7711966.g1,ENSDARG00000057743,TMEM56 (2 of 2),199
C7712812.g1,,,191
C7713220.g1,,,230
C7713704.g1,ENSDARG00000091215,rpz2,263
C7714034.g1,,,684
C7714274.g1,,,251
C7714634.g1,,,347
C7714948.g1,ENSDARG00000090725,,357
C7715456.g1,,,367
C7715482.g1,ENSDARG00000060372,PLXNA2,234
C7715748.g1,,,210
C7715882.g1,ENSDARG00000053835,plekhh1,240
C7715932.g1,,,345
C7716156.g1,ENSDARG00000027290,nrp1b,328
C7716164.g1,ENSDARG00000004402,elovl6,137
C7716414.g1,ENSDARG00000028628,gdap1l1,330
C7716610.g1,,,441
C7716792.g1,ENSDARG00000000394,matr3l1.2,407
C7716810.g1,,,432
C7717442.g1,ENSDARG00000001994,stxbp1a,313
C7717642.g1,,,468
C7717682.g1,,,179
C7717812.g1,ENSDARG00000042182,ccdc164,235
C7717886.g1,ENSDARG00000060182,pdzd4,220
C7718490.g1,ENSDARG00000001431,actn3b,159
C7718806.g1,ENSDARG00000061994,acacb,330
C7719114.g1,ENSDARG00000043806,postna,263
C7719666.g1,ENSDARG00000059738,ptprsa,245
C7719870.g1,ENSDARG00000075454,hdc,194
C7719920.g1,,,276
C7720202.g1,ENSDARG00000030417,PKD1,166
C7720346.g1,,,307
C7720664.g1,ENSDARG00000089908,DEPDC4,392
C7721440.g1,,,239
C7721598.g1,ENSDARG00000089289,pcdh1a6,711
C7723714.g1,,,207
C7724436.g1,ENSDARG00000071001,NUGGC (3 of 4),434
C7724762.g1,ENSDARG00000028173,slc4a2a,200
C7724892.g1,ENSDARG00000091924,pcdh1a3,722
C7725122.g1,ENSDARG00000056679,morc3a,383
C7725168.g1,,,162
C7725860.g1,,,327
C7726092.g1,,,456
C7726498.g1,ENSDARG00000027088,ptgdsb,366
C7726854.g1,ENSDARG00000012395,mmp13a,590
C7726936.g1,ENSDARG00000020785,lama4,215
C7726994.g1,,,234
C7727148.g1,ENSDARG00000037496,gria4a,198
C7727656.g1,ENSDARG00000033840,FAT3,448
C7727788.g1,ENSDARG00000007561,CDH23,494
C7727884.g1,,,262
C7728070.g1,,,431
C7728506.g1,ENSDARG00000079317,DLC1,671
C7728822.g1,,,675
C7728992.g1,,,737
C7729028.g1,ENSDARG00000079328,PGBD4 (4 of 7),658
C7729230.g1,ENSDARG00000029615,zgc:77056,268
C7729406.g1,ENSDARG00000068594,PLCB1 (2 of 2),331
C7729446.g1,,,233
C7729568.g1,,,740
C7729856.g1,,,571
C7730948.g1,ENSDARG00000068127,si:ch211-194e1.9,745
C7731082.g1,ENSDARG00000029146,lrp1,268
C7731108.g1,,,523
C7731496.g1,ENSDARG00000089342,wu:fc75a09,586
C7731804.g1,ENSDARG00000026453,ZNF837,124
C7731946.g1,,,479
C7732008.g1,ENSDARG00000035458,atp2a1l,294
C7732232.g1,,,302
C7732610.g1,ENSDARG00000022712,stat3,247
C7733208.g1,,,453
C7733824.g1,ENSDARG00000053665,gabrg2,174
C7734028.g1,ENSDARG00000023797,ryr1b,701
C7734040.g1,ENSDARG00000056196,slc2a2,414
C7734106.g1,ENSDARG00000036870,arih1l,529
C7734864.g1,ENSDARG00000075830,syt3,719
C7735018.g1,ENSDARG00000061138,senp7,435
C7735380.g1,ENSDARG00000073928,mrc1a,478
C7735678.g1,ENSDARG00000040869,upp1,429
C7736348.g1,ENSDARG00000022996,setx,392
C7736480.g1,ENSDARG00000000606,dnah7l,282
C7736628.g1,ENSDARG00000089996,CABZ01103858.1,281
C7736758.g1,ENSDARG00000013830,osbpl2,286
C7737334.g1,,,421
C7737594.g1,ENSDARG00000059475,CAMSAP3 (1 of 2),715
C7737922.g1,ENSDARG00000062182,SLC22A7 (4 of 5),376
C7738720.g1,ENSDARG00000077996,CDH24 (1 of 2),710
C7738966.g1,ENSDARG00000040643,ccr10,663
C7739094.g1,,,286
C7739252.g1,ENSDARG00000071279,si:dkey-4c23.5,350
C7739604.g1,,,610
C7739866.g1,,,724
C7740246.g1,ENSDARG00000012395,mmp13a,473
C7740594.g1,ENSDARG00000030297,SOX13,232
C7740788.g1,,,594
C7741374.g1,ENSDARG00000078199,ino80da,708
C7742856.g1,ENSDARG00000074498,chd9,404
C7743122.g1,ENSDARG00000091226,AL929092.5,792
C7743186.g1,ENSDARG00000075454,hdc,328
C7743240.g1,ENSDARG00000042729,kdm4b,793
C7743628.g1,ENSDARG00000016187,cxxc1l,276
C7744532.g1,ENSDARG00000037894,ezh1,288
C7744662.g1,,,457
C7745170.g1,ENSDARG00000074331,eif4g3b,364
C7745796.g1,ENSDARG00000035330,taf1,323
C7746084.g1,ENSDARG00000013544,,435
C7746156.g1,,,281
C7746600.g1,ENSDARG00000040966,NAIF1 (2 of 3),702
C7746632.g1,ENSDARG00000078410,AL831768.1,717
C7747102.g1,ENSDARG00000042130,zp3a.2,570
C7747458.g1,ENSDARG00000076777,,755
C7747822.g1,,,591
C7747892.g1,ENSDARG00000027940,kcnf1a,811
C7747962.g1,ENSDARG00000056043,LAMA1,287
C7748410.g1,ENSDARG00000094374,si:dkey-10h3.1,357
C7748904.g1,ENSDARG00000075761,cfh,262
C7749168.g1,ENSDARG00000074626,PIDD,764
C7749288.g1,ENSDARG00000078895,FASN (2 of 2),562
C7749514.g1,,,434
C7750148.g1,ENSDARG00000006923,cacna1ab,358
C7750308.g1,,,369
C7751980.g1,ENSDARG00000075285,MRAS (1 of 2),593
C7752034.g1,,,355
C7752038.g1,,,206
C7752506.g1,,,532
C7752596.g1,,,173
C7752746.g1,ENSDARG00000023694,spon1b,344
C7754044.g1,ENSDARG00000090702,CABZ01005649.2,509
C7754102.g1,ENSDARG00000091765,PLA2G4C (3 of 5),424
C7754634.g1,ENSDARG00000041362,chmp7,821
C7754762.g1,,,615
C7755576.g1,ENSDARG00000092421,si:ch1073-394i4.1,580
C7756328.g1,,,667
C7756468.g1,,,493
C7756682.g1,ENSDARG00000091226,AL929092.5,848
C7756946.g1,ENSDARG00000045910,tmem181,310
C7756996.g1,,,329
C7757002.g1,,,546
C7757444.g1,,,654
C7758048.g1,,,357
C7758096.g1,ENSDARG00000033840,FAT3,464
C7759312.g1,ENSDARG00000035879,FUCA1 (1 of 2),628
C7760772.g1,,,866
C7760818.g1,ENSDARG00000020741,fga,813
C7760826.g1,ENSDARG00000031588,CU459152.1,520
C7761332.g1,ENSDARG00000019025,podn,267
C7762524.g1,ENSDARG00000006181,hif1aa,429
C7762618.g1,ENSDARG00000087350,CABZ01068244.1,499
C7762662.g1,,,874
C7762964.g1,ENSDARG00000058416,DNHD1,585
C7763524.g1,,,805
C7764322.g1,ENSDARG00000077139,col6a3,835
C7764572.g1,,,261
C7764700.g1,ENSDARG00000061759,kdm6a,579
C7765144.g1,,,640
C7765900.g1,,,207
C7765938.g1,ENSDARG00000076562,DOCK2,349
C7766260.g1,ENSDARG00000074149,ITPR1 (1 of 2),723
C7766420.g1,,,497
C7766470.g1,ENSDARG00000058672,NUGGC (4 of 4),492
C7767620.g1,,,201
C7767948.g1,ENSDARG00000059340,DLGAP2 (3 of 3),700
C7768784.g1,ENSDARG00000028533,macf1,333
C7768874.g1,,,380
C7769352.g1,ENSDARG00000079274,zgc:66382,487
C7769362.g1,ENSDARG00000078895,FASN (2 of 2),252
C7769452.g1,,,536
C7769602.g1,ENSDARG00000016744,fbn2b,246
C7770262.g1,,,336
C7770772.g1,,,911
C7770908.g1,,,779
C7771040.g1,,,336
C7771220.g1,,,301
C7771576.g1,,,436
C7771978.g1,,,282
C7772418.g1,ENSDARG00000005327,BX511153.1,205
C7772580.g1,,,271
C7773034.g1,ENSDARG00000010078,nup133,475
C7773068.g1,,,232
C7773078.g1,,,299
C7773082.g1,ENSDARG00000070903,met,787
C7773262.g1,ENSDARG00000092419,vtg7,735
C7773336.g1,ENSDARG00000091735,,923
C7774872.g1,ENSDARG00000057007,ctbp1,333
C7774924.g1,ENSDARG00000037917,itga3a,294
C7775590.g1,ENSDARG00000078895,FASN (2 of 2),552
C7776490.g1,,,508
C7776918.g1,ENSDARG00000075975,slc45a3,202
C7777266.g1,ENSDARG00000040869,upp1,621
C7777928.g1,ENSDARG00000060165,dnah7,413
C7778180.g1,,,159
C7778394.g1,ENSDARG00000001285,RBM14 (1 of 2),784
C7778788.g1,,,401
C7778974.g1,,,712
C7779782.g1,ENSDARG00000005679,TRIP10 (1 of 2),323
C7779810.g1,ENSDARG00000093235,TST,422
C7780066.g1,,,239
C7780128.g1,ENSDARG00000058088,pdcd8,471
C7780594.g1,,,304
C7781286.g1,ENSDARG00000067569,FNDC3A,621
C7781340.g1,ENSDARG00000045853,rad51ap1,305
C7782158.g1,ENSDARG00000074142,MUC2 (1 of 2),188
C7782426.g1,,,607
C7782806.g1,,,185
C7783228.g1,,,146
C7783468.g1,ENSDARG00000092731,si:ch73-213j4.4,259
C7783590.g1,,,971
C7783928.g1,ENSDARG00000005122,atp2a2b,423
C7784260.g1,ENSDARG00000043907,FGF11 (2 of 2),506
C7784302.g1,,,915
C7785356.g1,ENSDARG00000033735,ncf1,220
C7785458.g1,,,498
C7785652.g1,ENSDARG00000079480,UNC80,428
C7785740.g1,ENSDARG00000043130,notch2,464
C7785852.g1,ENSDARG00000020982,PRICKLE2 (2 of 2),160
C7786388.g1,ENSDARG00000036848,slc43a2a,281
C7786486.g1,ENSDARG00000020041,C12H16orf62,750
C7786742.g1,,,594
C7786902.g1,ENSDARG00000000212,KRT23 (1 of 15),260
C7787126.g1,ENSDARG00000078214,MYBBP1A (2 of 2),484
C7787358.g1,,,132
C7787918.g1,ENSDARG00000051896,fbn2a,480
C7788524.g1,,,427
C7788684.g1,,,997
C7789332.g1,ENSDARG00000027515,rrp1,394
C7789786.g1,ENSDARG00000015240,cdkl5,284
C7790186.g1,ENSDARG00000075260,,1004
C7790238.g1,,,688
C7790310.g1,ENSDARG00000060594,hadhab,921
C7791778.g1,ENSDARG00000088605,rgs3,777
C7792100.g1,ENSDARG00000010318,srpx,616
C7793172.g1,ENSDARG00000070522,cacna1i,173
C7793374.g1,ENSDARG00000018820,flncb,537
C7793612.g1,,,154
C7794496.g1,ENSDARG00000076870,piezo1,696
C7794952.g1,,,368
C7796016.g1,ENSDARG00000038066,kpna2,463
C7796684.g1,,,460
C7796698.g1,ENSDARG00000062904,idua,463
C7797040.g1,ENSDARG00000056449,BX321875.1,1038
C7797046.g1,ENSDARG00000069012,ifnphi2,605
C7797450.g1,ENSDARG00000060580,tasp1,219
C7797626.g1,ENSDARG00000056924,sap130a,505
C7798162.g1,,,497
C7798240.g1,ENSDARG00000031588,CU459152.1,325
C7798924.g1,,,597
C7798964.g1,ENSDARG00000038199,cda,397
C7799074.g1,ENSDARG00000005446,ckap5,449
C7799644.g1,,,853
C7799672.g1,ENSDARG00000018566,CU302436.1,655
C7799940.g1,ENSDARG00000008735,atp6ap2,409
C7800006.g1,,,289
C7800434.g1,ENSDARG00000036442,atp11c,316
C7800510.g1,ENSDARG00000096449,si:ch211-194e1.7,952
C7800776.g1,ENSDARG00000017615,tlx3b,589
C7800952.g1,,,424
C7800964.g1,,,262
C7800972.g1,ENSDARG00000087250,LAMA2,432
C7801000.g1,ENSDARG00000058108,EPS8L2 (1 of 2),434
C7801034.g1,ENSDARG00000043511,prdx6,317
C7802494.g1,ENSDARG00000013928,plekhb2,519
C7803146.g1,,,284
C7803978.g1,ENSDARG00000079611,SEMA4C,217
C7804060.g1,ENSDARG00000070080,nbeaa,780
C7804468.g1,,,1015
C7804868.g1,ENSDARG00000092067,atn1,468
C7805034.g1,ENSDARG00000032743,SIGLEC15,877
C7805528.g1,ENSDARG00000036442,atp11c,296
C7805964.g1,ENSDARG00000034264,odz4,412
C7806202.g1,ENSDARG00000016404,ptch1,483
C7806920.g1,,,182
C7806980.g1,ENSDARG00000011515,ORAI1 (2 of 2),502
C7807058.g1,ENSDARG00000077500,TMEM101,498
C7807324.g1,ENSDARG00000076178,PGBD4 (1 of 7),1092
C7807418.g1,ENSDARG00000005333,tln1,727
C7807778.g1,,,300
C7808164.g1,ENSDARG00000026024,mospd2,515
C7808472.g1,,,1096
C7808770.g1,ENSDARG00000036572,dusp2,839
C7809172.g1,ENSDARG00000052139,notch3,422
C7809240.g1,,,837
C7809630.g1,ENSDARG00000078186,tex2,330
C7809788.g1,ENSDARG00000075954,SERPINH1 (2 of 2),602
C7810724.g1,ENSDARG00000076224,CD58 (1 of 2),391
C7810848.g1,ENSDARG00000090821,tp53rk,600
C7811048.g1,ENSDARG00000063069,gripap1,308
C7811236.g1,ENSDARG00000058206,sb:cb252,665
C7811712.g1,ENSDARG00000014587,slc38a3,832
C7811906.g1,ENSDARG00000059846,EPG5,731
C7812060.g1,ENSDARG00000078895,FASN (2 of 2),925
C7812468.g1,ENSDARG00000014994,tbp,405
C7812528.g1,ENSDARG00000017780,rorcb,384
C7812576.g1,,,318
C7812576.g2,,,427
C7812786.g1,ENSDARG00000089610,pbx1a,104
C7812878.g1,ENSDARG00000031637,pan3,792
C7813236.g1,ENSDARG00000035285,ncor1,430
C7814890.g1,ENSDARG00000013050,abcc12,197
C7815266.g1,,,890
C7815486.g1,ENSDARG00000078703,ASPH,455
C7816192.g1,ENSDARG00000017454,nup50,653
C7817608.g1,,,1025
C7819474.g1,ENSDARG00000020232,eif6,966
C7819934.g1,ENSDARG00000015184,MPP3 (1 of 2),505
C7820010.g1,ENSDARG00000087742,MAP4K3 (2 of 2),236
C7820090.g1,ENSDARG00000020054,aox1,491
C7820504.g1,ENSDARG00000017591,fat1,1167
C7820594.g1,ENSDARG00000056449,BX321875.1,974
C7820602.g1,ENSDARG00000063180,dock3,865
C7820722.g1,,,978
C7821168.g1,ENSDARG00000078052,emilin3a,1125
C7821180.g1,ENSDARG00000003531,tcea1,700
C7821336.g1,ENSDARG00000077021,calhm1,867
C7821608.g1,,,251
C7822835.g1,ENSDARG00000052074,BX957362.1,648
C7823407.g1,,,316
C7823773.g1,ENSDARG00000062711,gal3st1,1187
C7823947.g1,ENSDARG00000077023,CU855896.2,1188
C7824495.g1,,,339
C7825679.g1,ENSDARG00000041362,chmp7,632
C7826029.g1,ENSDARG00000077010,eif2ak4,494
C7826229.g1,ENSDARG00000086495,CU459095.1,895
C7826265.g1,ENSDARG00000005446,ckap5,372
C7826685.g1,,,502
C7826699.g1,ENSDARG00000036156,fnbp1,711
C7826817.g1,ENSDARG00000011885,mrpl19,698
C7826859.g1,ENSDARG00000005462,KIF4A,404
C7827461.g1,ENSDARG00000054746,uggt1,510
C7827931.g1,ENSDARG00000012060,thbs3b,346
C7828117.g1,ENSDARG00000020994,CU633981.1,365
C7828169.g1,ENSDARG00000018296,REV1,333
C7829071.g1,ENSDARG00000044600,CABZ01025393.1,324
C7829857.g1,ENSDARG00000004305,vangl1,134
C7830455.g1,ENSDARG00000045627,cyp3a65,275
C7830499.g1,,,545
C7830511.g1,ENSDARG00000000972,pcl,726
C7830849.g1,,,335
C7831331.g1,,,360
C7831403.g1,,,1175
C7831619.g1,ENSDARG00000079078,hbaa1,598
C7831645.g1,ENSDARG00000060580,tasp1,226
C7832271.g1,ENSDARG00000042138,selp,627
C7832379.g1,ENSDARG00000033234,stmn2a,609
C7832483.g1,,,1195
C7834081.g1,ENSDARG00000056080,si:dkey-191g9.5,354
C7834845.g1,ENSDARG00000039785,CABZ01078610.1,191
C7835413.g1,ENSDARG00000091691,CABZ01100267.1,348
C7835491.g1,,,1175
C7835585.g1,ENSDARG00000053363,edar,253
C7836477.g1,ENSDARG00000024920,TMEM136 (3 of 3),521
C7836637.g1,,,296
C7836791.g1,,,1205
C7837189.g1,ENSDARG00000058666,dennd2da,286
C7837233.g1,,,588
C7837929.g1,ENSDARG00000075830,syt3,594
C7838017.g1,ENSDARG00000054473,tinf2,235
C7838891.g1,,,443
C7840199.g1,,,1004
C7840617.g1,,,204
C7841477.g1,ENSDARG00000088345,TRIM35 (3 of 41),420
C7841639.g1,,,1245
C7841929.g1,,,969
C7842903.g1,ENSDARG00000087122,BX511061.2,459
C7842937.g1,ENSDARG00000031622,nrp2a,156
C7843109.g1,ENSDARG00000093148,CU633479.7,978
C7843511.g1,,,202
C7843541.g1,ENSDARG00000058719,SMC6,425
C7843813.g1,ENSDARG00000011333,ARHGAP33,342
C7844607.g1,ENSDARG00000092716,VASH1,507
C7844979.g1,,,1322
C7845025.g1,ENSDARG00000025789,chd4b,1007
C7845191.g1,ENSDARG00000068478,gpx4a,320
C7845393.g1,ENSDARG00000042484,tle2,829
C7845503.g1,ENSDARG00000070583,ITPK1 (1 of 2),95
C7846793.g1,,,608
C7847129.g1,ENSDARG00000053574,fancd2,344
C7848125.g1,ENSDARG00000025566,slc25a3b,476
C7848515.g1,ENSDARG00000059832,bai3,216
C7848773.g1,,,1091
C7848915.g1,ENSDARG00000059452,PTPRD (2 of 2),805
C7849061.g1,,,626
C7849489.g1,ENSDARG00000032630,neb,737
C7850169.g1,ENSDARG00000015866,apoa2,521
C7850647.g1,,,561
C7850655.g1,ENSDARG00000011636,si:ch211-93f2.1,414
C7851805.g1,ENSDARG00000037917,itga3a,470
C7852085.g1,ENSDARG00000056781,CR853281.1,601
C7852363.g1,ENSDARG00000091001,MYCBP,473
C7852373.g1,,,140
C7852417.g1,ENSDARG00000040013,FBN1,360
C7852421.g1,ENSDARG00000019726,celsr2l,208
C7852693.g1,ENSDARG00000011083,CR848836.1,1225
C7853043.g1,,,1199
C7853469.g1,ENSDARG00000042913,spef2,804
C7853895.g1,ENSDARG00000053530,cyp4f3,917
C7854835.g1,,,598
C7855113.g1,ENSDARG00000020377,eif4g2a,618
C7855293.g1,,,448
C7856271.g1,ENSDARG00000086777,CABZ01055170.1,548
C7856375.g1,ENSDARG00000055225,dock8,1076
C7856595.g1,ENSDARG00000079499,stk32a,314
C7857007.g1,ENSDARG00000077002,IGSF3,1360
C7857145.g1,ENSDARG00000089963,hbbe1.1,758
C7857621.g1,,,214
C7857753.g1,ENSDARG00000079717,RBM12B,1403
C7857869.g1,,,1236
C7857917.g1,ENSDARG00000088917,VWA5A (2 of 4),391
C7858159.g1,,,995
C7858291.g1,ENSDARG00000062328,RASGRP2 (2 of 2),767
C7858619.g1,,,296
C7859383.g1,ENSDARG00000078675,dock7,186
C7859489.g1,ENSDARG00000005446,ckap5,593
C7860887.g1,ENSDARG00000069989,bnc2,263
C7861081.g1,ENSDARG00000059832,bai3,988
C7861995.g1,ENSDARG00000092499,si:ch211-183d21.1,582
C7862079.g1,ENSDARG00000079457,C12H17orf70,204
C7862149.g1,ENSDARG00000019753,kcnn3,247
C7863137.g1,ENSDARG00000087657,fasn,750
C7864255.g1,ENSDARG00000017107,nr2e1,353
C7864889.g1,ENSDARG00000077353,rerea,835
C7864969.g1,ENSDARG00000054363,wu:fd14a06,1467
C7864973.g1,ENSDARG00000073704,si:dkeyp-72g9.4,326
C7865389.g1,ENSDARG00000077169,wu:fj08f03,294
C7865585.g1,ENSDARG00000042794,CABZ01079045.1,375
C7867151.g1,,,650
C7867215.g1,ENSDARG00000005446,ckap5,511
C7868075.g1,ENSDARG00000074331,eif4g3b,601
C7868143.g1,,,356
C7868953.g1,ENSDARG00000003091,oclnb,561
C7869479.g1,ENSDARG00000078895,FASN (2 of 2),797
C7869661.g1,ENSDARG00000056679,morc3a,1200
C7870765.g1,ENSDARG00000017676,mmp2,324
C7871631.g1,ENSDARG00000046085,CLDND1 (1 of 2),773
C7872063.g1,ENSDARG00000061398,epb41l4b,617
C7872255.g1,ENSDARG00000092233,vtg1,651
C7872889.g1,ENSDARG00000068562,,187
C7873387.g1,ENSDARG00000035420,ophn1,841
C7874283.g1,ENSDARG00000075759,CU464134.1,249
C7874831.g1,ENSDARG00000075349,si:ch73-138n13.1,1518
C7874869.g1,ENSDARG00000030498,il6st,579
C7875091.g1,,,449
C7875171.g1,ENSDARG00000074746,kcnd1,119
C7875627.g1,ENSDARG00000040815,tsku,1102
C7877129.g1,,,814
C7877807.g1,ENSDARG00000059795,THEM6 (2 of 2),1136
C7878327.g1,ENSDARG00000091511,gpx7,179
C7878559.g1,ENSDARG00000044475,ompa,1082
C7878741.g1,,,947
C7878877.g1,,,1276
